id,year,month,day,hour,lat,lon,label,u200,v200,u850,v850,shear_200_850,rh600_700,t500,tcwv,sst_c,mslp_hpa,nino34_anom,romi1,romi2,amo_ssta,nao_index,qbo_30mb
AL022023,2023,6,2,6,27.3,-86.4,0,19.203840255737305,-3.7734758853912354,-3.128249406814575,-1.0328890085220337,22.499623221865832,56.32932090759277,264.48468017578125,40.75066375732422,26.930780029296898,1009.90015625,0.88,-0.33189,0.48459,1.27,-0.5784,0.72
AL292005,2005,11,24,12,24.8,-39.0,0,1.5352351665496826,-17.815113067626953,-0.0417179688811302,-1.3447613716125488,16.54567212843738,70.05388641357422,263.9410400390625,40.96476745605469,24.795556640625023,999.724453125,-0.54,-0.22682,0.7277,0.52,-0.31,-29.55
AL192000,2000,10,28,18,38.0,-65.5,0,10.47749137878418,16.952159881591797,10.298251152038574,3.607252359390259,13.346111187720377,80.1843376159668,263.73895263671875,41.0941162109375,22.566949462890648,998.010625,-0.71,-1.47524,1.63092,0.2,0.92,-14.04
AL032015,2015,7,13,18,37.6,-67.5,0,13.788969993591309,11.254669189453123,4.056140422821045,6.400260925292969,10.8762700889968,52.7748908996582,265.5574645996094,41.1402702331543,26.165673828125023,1013.2378125,1.26,0.84749,1.8356,0.39,-3.179,7.45
AL192021,2021,9,24,18,33.6,-64.1,0,6.528991222381592,2.16247820854187,-3.5183680057525635,1.9150463342666624,10.050405464038748,55.83063697814941,265.05572509765625,41.21422958374024,27.053308105468773,1014.9721875,-0.27,-0.04259,0.27174,0.83,-0.2137,-16.56
AL152004,2004,10,11,12,36.0,-61.8,0,17.322534561157227,11.922487258911133,6.998833656311035,8.59798526763916,10.845787839649704,60.867950439453125,264.9781494140625,41.43102645874024,24.868554687500023,999.70640625,0.64,-1.08052,1.75975,0.56,-1.1,8.0
AL051992,1992,9,17,18,33.8,-59.0,1,5.171964645385742,3.1172094345092773,1.844962477684021,-0.5064417719841003,4.919328357633068,62.653615951538086,264.596435546875,41.51087951660156,26.602349853515648,1017.124921875,-0.16,-0.33181,0.56752,-0.33,-0.44,1.3
AL042000,2000,8,8,12,28.2,-74.2,0,-7.087203979492188,5.543325901031494,-5.088765621185303,-1.2416162490844729,7.073131969104818,49.143699645996094,265.61297607421875,41.57242584228516,28.439355468750023,1018.604296875,-0.51,1.03396,1.11587,0.22,-0.29,-15.31
AL112002,2002,9,19,12,41.5,-43.3,0,11.103963851928713,14.092140197753906,8.597986221313477,11.20237922668457,3.825002268634561,69.91214752197266,262.905517578125,41.6076545715332,22.34468994140628,1008.03203125,0.85,0.03909,0.12608,0.26,-0.7,8.9
AL081997,1997,10,8,18,29.2,-48.8,0,19.48843574523925,18.168922424316406,11.19288158416748,0.6678316593170166,19.36761205735034,51.475751876831055,265.6025390625,41.67874526977539,26.9743591308594,1005.37546875,1.96,0.55247,0.73525,0.36,-1.7,9.91
AL132001,2001,10,12,18,33.5,-66.3,1,1.3676106929779053,9.26150608062744,-0.1052234396338462,2.6447997093200684,6.7786461470035295,65.57223892211914,264.2030639648437,41.8870735168457,25.272027587890648,1007.424453125,-0.25,-1.76379,1.91195,0.47,-0.24,-10.81
AL042020,2020,6,23,12,39.4,-62.7,0,-0.3017941415309906,-2.102272748947144,4.7515177726745605,2.9308085441589355,7.1321713808114655,69.98821258544922,263.93994140625,42.04463195800781,23.756036376953148,1012.4496875,-0.27,0.48231,0.5223,0.71,-0.1469,-2.78
AL101992,1992,10,22,18,26.6,-61.2,1,-5.317297458648682,10.76210594177246,-5.004227638244629,-0.5563615560531616,11.3227964395631,64.99794006347656,264.24029541015625,42.3972053527832,26.167749023437523,1011.349765625,-0.5,-1.74634,1.83034,-0.26,-1.76,3.94
AL172000,2000,10,16,18,29.8,-71.4,1,4.738135814666748,2.732353448867798,0.9952101707458496,-0.4128192961215973,4.88892666868146,59.4510440826416,265.2731018066406,42.4183235168457,26.236230468750023,1010.1125,-0.71,-1.58924,1.66487,0.2,0.92,-14.04
AL102024,2024,9,26,12,37.2,-52.3,1,7.772806167602539,4.94895076751709,2.83436131477356,-1.2261641025543213,7.906976743548074,62.123342514038086,264.9247436523437,42.47531127929688,26.139459228515648,1009.107578125,-0.15,1.23145,1.40963,1.22,-1.4283,10.36
AL162018,2018,10,27,18,27.1,-49.9,1,-10.017142295837402,-2.298569202423096,-7.410699844360352,-1.1017379760742188,2.8680912184282867,64.92326354980469,264.9424133300781,42.53428268432617,26.513940429687523,1009.557421875,0.86,-0.22191,0.71774,0.56,0.9345,-2.79
AL192012,2012,10,24,12,27.9,-46.8,0,6.12808895111084,12.59186553955078,6.529621601104736,3.1150450706481934,9.48532311884114,54.631547927856445,265.2795715332031,42.62826156616211,25.844567871093773,1011.66234375,0.36,1.61475,1.6684,0.76,-2.062,-24.51
AL111994,1994,11,3,18,25.3,-52.2,1,0.1744421869516372,-0.2958657145500183,-0.9936078190803528,5.113274097442627,5.533817337270464,68.18597412109375,264.8927001953125,42.90916061401367,26.708337402343773,1009.28796875,0.91,0.49191,0.50139,0.18,0.64,-0.3
AL202019,2019,11,23,0,26.7,-52.6,0,19.59577178955078,12.001164436340332,4.177454948425293,6.420093059539795,16.39734283127227,64.4664192199707,265.6882019042969,43.08327102661133,25.750848388671898,1009.405390625,0.46,0.71155,1.03322,0.63,0.2785,5.07
AL042021,2021,6,28,18,32.0,-79.5,0,-9.561205863952637,3.297266721725464,-5.801046848297119,1.9587653875350952,3.991288218688907,53.56566429138184,265.7430419921875,43.26947021484375,27.340600585937523,1021.085859375,-0.04,1.12346,1.54372,0.59,0.7655,-6.93
AL011996,1996,6,21,18,37.8,-56.2,0,35.63393783569336,0.5132246017456055,13.31185817718506,1.4844187498092651,22.343197138145275,83.98905181884766,264.0016174316406,43.30010986328125,22.29122314453128,1005.20921875,-0.48,-0.76196,0.78996,-0.03,0.56,-17.03
AL122002,2002,9,24,18,30.3,-51.1,1,-0.0312085449695587,2.37759017944336,-4.210251331329346,0.1752658188343048,4.723836491619693,57.523963928222656,266.781494140625,43.3250732421875,26.472558593750023,1010.162890625,0.85,1.09589,1.15962,0.26,-0.7,8.9
AL032011,2011,7,21,18,41.3,-46.1,0,13.74287223815918,13.180450439453123,8.58481216430664,8.519021987915039,6.9523017004644165,73.99235153198242,264.9554138183594,43.40842056274414,22.659448242187523,1015.986484375,-0.19,0.0115,0.91062,0.38,-1.5122,0.44
AL172017,2017,10,10,18,31.3,-38.2,1,3.541835069656372,-0.7454306483268738,1.6051082611083984,-1.9233746528625488,2.2668177714077418,69.64966583251953,263.4078674316406,43.49369812011719,25.873651123046898,1013.076484375,-0.37,-0.7303,0.74854,0.88,0.1859,-16.79
AL082022,2022,9,21,6,36.9,-43.1,0,8.910115242004395,13.461838722229004,2.6880691051483154,3.4622926712036133,11.777299323518235,75.74552917480469,264.25714111328125,43.5915641784668,25.92550048828128,1016.881796875,-0.93,-0.84009,0.86573,0.99,-1.6105,9.8
AL111991,1991,10,27,0,28.1,-67.1,1,-3.716330051422119,9.402813911437988,-0.7298461198806763,-2.412209272384644,12.186626239760596,60.64316940307617,265.69805908203125,43.62089538574219,26.547753906250023,1005.16390625,0.64,-0.04306,0.1252,-0.13,-0.19,-12.21
AL182000,2000,10,21,0,32.4,-55.2,0,5.507787704467773,16.46259880065918,1.6793442964553833,1.780826210975647,15.17271977278748,60.530385971069336,264.7384033203125,43.67525100708008,26.2072692871094,1013.182734375,-0.71,-1.19277,1.31545,0.2,0.92,-14.04
AL202010,2010,10,29,0,26.8,-63.0,1,-7.497369766235352,11.06425952911377,-7.479494571685791,2.5625319480896,8.501746372629995,64.76454544067383,265.1341857910156,43.86873626708984,26.479608154296898,1013.3671875,-1.41,-0.19884,0.70053,0.6,-0.9283,10.83
AL102004,2004,9,9,0,35.3,-35.0,0,11.894726753234863,10.09634494781494,0.2564511597156524,3.0447676181793213,13.607872781097564,62.22136497497559,264.57763671875,43.875431060791016,25.398614501953148,1016.767265625,0.67,0.61959,0.92568,0.44,0.38,7.29
AL072002,2002,9,7,12,24.3,-47.5,0,3.0787465572357178,2.6122946739196777,-4.133709907531738,1.533112645149231,7.292747226346664,53.2862663269043,265.8973388671875,44.08613586425781,27.437280273437523,1020.79453125,0.85,-0.06098,0.0802,0.26,-0.7,8.9
AL022016,2016,5,28,18,30.7,-79.1,0,-7.613245487213135,13.98453426361084,-2.458777666091919,0.4651840925216675,14.46863392195348,66.9367446899414,264.8757019042969,44.122859954833984,26.130029296875023,1017.067578125,0.27,-0.72731,1.21479,0.63,-0.7736,2.37
AL052020,2020,7,6,12,39.9,-51.7,0,18.12031936645508,14.648733139038086,10.507832527160645,6.111711502075195,11.4381245975205,70.90964126586914,264.92138671875,44.18969345092773,22.745660400390648,1015.269921875,-0.14,0.57541,0.64629,0.84,-1.2262,0.34
AL112007,2007,9,23,6,36.2,-46.1,0,3.102860450744629,-0.5152408480644226,-0.3746675848960876,0.9412165880203248,3.770208150990306,74.10564804077148,264.00494384765625,44.20893859863281,24.399499511718773,1010.97640625,-0.86,-1.69527,1.69773,0.39,0.7213,-28.13
AL022021,2021,6,15,12,39.4,-64.0,0,21.09157943725586,15.10439395904541,8.855366706848145,8.976882934570312,13.684710202954818,73.51810073852539,264.5263061523437,44.23414993286133,21.860253906250023,1012.77609375,-0.04,-0.2073,0.47321,0.59,0.7655,-6.93
AL022012,2012,5,27,23,30.1,-80.5,0,-2.846656560897827,-2.205854892730713,-3.77552342414856,1.282493233680725,3.609898378165713,72.1813850402832,265.13336181640625,44.3763313293457,26.320245361328148,1011.49390625,-0.19,1.06747,1.12442,0.47,-0.9068,-22.04
